franchise,player,pos,before_status,after_status,before_salary,after_salary,before_contractYear,after_contractYear,before_contractInfo,after_contractInfo,status_changed,contractInfo_changed,salary_changed
Cleon Ca$h,"Royals, Jalen",WR,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Cleon Ca$h,"Shakir, Khalil",WR,BL,Vet-ERA-BL,25000,25000,2,2,"CL 3| TCV 57K| AAV 19K| Y1-14K, Y2-25K, Y3-18K","CL 3| TCV 57K| AAV 19K| Y1-14K, Y2-25K, Y3-18K",Y,,
Cleon Ca$h,"Singleton, Nicholas",RB,R,Rookie-Draft,5000,5000,3,3,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",Y,,
Cleon Ca$h,"Smith, Roquan",LB,FL,Vet-FAA-FL,1000,1000,1,1,"CL 3| TCV 12K| AAV 4K| Y1-8, Y2-3, Y3-1","CL 3| TCV 12K| AAV 4K| Y1-8, Y2-3, Y3-1",Y,,
Cleon Ca$h,"Starks, Malaki",S,Rookie,Rookie-Draft,2000,2000,2,2,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,Y,,
Cleon Ca$h,"TeSlaa, Isaac",WR,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Cleon Ca$h,"Trice, Bralen",DE,Rookie,Rookie-Draft,1000,1000,1,1,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,Y,,
Cleon Ca$h,"Walker, Devontez",WR,(blank),Rookie-Draft,(blank),2000,(blank),1,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Cleon Ca$h,"Walker, Travon",DE,Veteran,Vet-MYM,1000,1000,1,1,"CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1","CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1",Y,,
Cleon Ca$h,"Williams, Mykel",DE,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Gride,"Bech, Jack",WR,(blank),Rookie-Draft,(blank),5000,(blank),2,(blank),CL 3| TCV 15K| AAV 5K,Y,Y,Y
Gride,"Bell, Chris",WR,R,Rookie-Draft,5000,5000,3,3,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",Y,,
Gride,"Brazzell II, Chris",WR,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Gride,"Coker, Jalen",WR,Rookie,Rookie-MYM,1000,1000,1,1,"CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1","CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1",Y,,
Gride,"Darnold, Sam",QB,Veteran,Vet-FAA,18000,18000,1,1,CL 2| TCV 36K| AAV 18K,CL 2| TCV 36K| AAV 18K,Y,,
Gride,"Etienne, Trevor",RB,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Gride,"Giddens, DJ",RB,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Gride,"Graham, Mason",DT,(blank),Rookie-Draft,(blank),1000,(blank),2,(blank),CL 3| TCV 3K| AAV 1K,Y,Y,Y
Gride,"Hill Jr., Anthony",LB,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Gride,"Johnson, Emmett",RB,R,Rookie-Draft,5000,5000,3,3,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",Y,,
Gride,"Joly, Justin",TE,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Gride,"Monangai, Kyle",RB,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Gride,"Moore, D.J.",WR,Veteran,Vet-FAA,21000,21000,1,1,CL 2| TCV 42K| AAV 21K,CL 2| TCV 42K| AAV 21K,Y,,
