projection_season,franchise_id,team_name,player_id,player_name,position,nfl_team,normalized_adp,points_adp_proxy,expected_reg_points,expected_reg_ppg,action,projected_pool_ind,projected_salary_2026,projected_perceived_value,expected_points_per_1000_bid,points_model_group,points_model_samples,points_model_method
2026,0009,C-Town Chivalry,16641,"Bowers, Brock",TE,LVR,3.75,34.0,203.86,14.837,retain_existing,0,9000,0,,TE,124,inv_sqrt_adp_weighted_linear
2026,0005,HammerTime 🔨 ⏰,16152,"Richardson, Anthony",QB,IND,13.083333333333334,146.0,201.37,15.759,retain_existing,0,11000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0009,C-Town Chivalry,14778,"Tagovailoa, Tua",QB,MIA,13.166666666666666,147.0,201.28,15.754,retain_existing,0,15000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0009,C-Town Chivalry,15751,"London, Drake",WR,ATL,2.8333333333333335,23.0,199.96,14.421,retain_existing,0,52000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0005,HammerTime 🔨 ⏰,11150,"Smith, Geno",QB,LVR,16.0,181.0,198.74,15.606,retain_existing,0,1000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0001,L.A. Looks,17031,"Sanders, Shedeur",QB,CLE,17.5,199.0,197.67,15.543,retain_existing,0,2000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0008,Real Deal Creel,15694,"Willis, Malik",QB,GBP,19.0,217.0,196.74,15.488,expiring_to_pool,1,0,8719.18,22.564,QB,114,inv_sqrt_adp_weighted_linear
2026,0006,The Long Haulers,15238,"Fields, Justin",QB,NYJ,19.333333333333332,221.0,196.55,15.477,expiring_to_pool,1,0,8643.69,22.739,QB,114,inv_sqrt_adp_weighted_linear
2026,0010,Blake Bombers,12616,"Brissett, Jacoby",QB,ARI,19.416666666666668,222.0,196.5,15.474,expiring_to_pool,1,0,8625.12,22.782,QB,114,inv_sqrt_adp_weighted_linear
2026,0009,C-Town Chivalry,17033,"Milroe, Jalen",QB,SEA,20.166666666666668,231.0,196.09,15.45,retain_existing,0,5000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0008,Real Deal Creel,10700,"Cousins, Kirk",QB,ATL,21.583333333333332,248.0,195.37,15.408,expiring_to_pool,1,0,8180.75,23.882,QB,114,inv_sqrt_adp_weighted_linear
2026,0006,The Long Haulers,17034,"Ewers, Quinn",QB,MIA,23.833333333333332,275.0,194.38,15.35,retain_existing,0,2000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0002,CBP,7836,"Rodgers, Aaron",QB,PIT,24.833333333333332,287.0,193.98,15.326,expiring_to_pool,1,0,7626.67,25.434,QB,114,inv_sqrt_adp_weighted_linear
2026,0008,Real Deal Creel,9064,"Flacco, Joe",QB,CIN,25.25,292.0,193.82,15.317,expiring_to_pool,1,0,7563.48,25.626,QB,114,inv_sqrt_adp_weighted_linear
2026,0002,CBP,15290,"Collins, Nico",WR,HOU,3.0833333333333335,26.0,192.06,13.867,retain_existing,0,47000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0007,Sex Manther,16384,"Bagent, Tyson",QB,CHI,400.0,400.0,191.17,15.162,expiring_to_pool,1,0,1900.3,100.6,QB,114,inv_sqrt_adp_weighted_linear
2026,0004,Pure Greatness,16153,"Bennett, Stetson",QB,LAR,400.0,400.0,191.17,15.162,expiring_to_pool,1,0,1900.3,100.6,QB,114,inv_sqrt_adp_weighted_linear
2026,0003,Gride,10313,"Dalton, Andy",QB,CAR,400.0,400.0,191.17,15.162,expiring_to_pool,1,0,1900.3,100.6,QB,114,inv_sqrt_adp_weighted_linear
2026,0002,CBP,17037,"Gabriel, Dillon",QB,CLE,400.0,400.0,191.17,15.162,retain_existing,0,2000,0,,QB,114,inv_sqrt_adp_weighted_linear
