projection_season,franchise_id,team_name,player_id,player_name,position,nfl_team,status_base,cap_status_factor,salary_base,contract_year_base,contract_status_base,contract_info_base,projected_contract_year,action,projected_salary_2026,tag_eligible_ind,tag_selected_ind,tag_side,tag_salary,rookie_extend_candidate_ind,rookie_extend_selected_ind,rookie_extend_salary,adp_source_season,average_pick,normalized_adp,points_adp_proxy,adp_normalization_source,projected_pool_ind,estimated_market_value,expected_reg_points,expected_reg_ppg,points_model_group,points_model_samples,points_model_method,next_salary_method
2026,0002,CBP,14867,"Kmet, Cole",TE,CHI,ROSTER,1.0,1000,2,FL,"CL 3| TCV 27K| AAV 9K| Y1-20, Y2-1, Y3-6",1,retain_existing,6000,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,0,0.0,86.03,6.054,TE,124,inv_sqrt_adp_weighted_linear,remaining_year_index
2026,0002,CBP,15798,"Likely, Isaiah",TE,BAL,ROSTER,1.0,12000,1,Veteran,CL 1| TCV 12K| AAV 12K| Y1-12K| Ext: CBP,0,expiring_to_pool,0,1,0,OFFENSE,14000,0,0,0,2026,204.0,17.916666666666668,204.0,sleeper_sf_slot,1,8978.92,105.44,7.501,TE,124,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,14782,"Love, Jordan",QB,GBP,ROSTER,1.0,21000,2,Veteran,"CL 3| TCV 43K| AAV 21K| Y1-1, Y2-21, Y3-21| Ext: PG",1,retain_existing,21000,0,0,OFFENSE,0,0,0,0,2026,47.0,4.833333333333333,47.0,sleeper_sf_slot,0,0.0,221.02,16.91,QB,114,inv_sqrt_adp_weighted_linear,remaining_year_index
2026,0002,CBP,13143,"McNichols, Jeremy",RB,WAS,ROSTER,1.0,1000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,1900.3,76.9,5.91,RB,256,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,14102,"Metcalf, DK",WR,PIT,ROSTER,1.0,38000,1,BL,"CL 2| TCV 66K| AAV 33K| Y1-28K, Y2-38K| Not eligible for tag or extension",0,expiring_to_pool,0,0,0,OFFENSE,0,0,0,0,2026,85.0,8.0,85.0,sleeper_sf_slot,1,13437.16,136.25,9.953,WR,312,inv_sqrt_adp_weighted_linear,fallback_second_year
2026,0002,CBP,16178,"Mitchell, Keaton",RB,BAL,ROSTER,1.0,1000,3,Veteran,CL 3| TCV 3K| AAV 1K,2,retain_existing,1000,0,0,OFFENSE,0,0,0,0,2026,276.0,23.916666666666668,276.0,sleeper_sf_slot,0,0.0,83.67,6.361,RB,256,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,14974,"Mooney, Darnell",WR,ATL,ROSTER,1.0,12000,1,Veteran,CL 2| TCV 14K| AAV 12K |Y1-2 Y2-12| Ext: CBP,0,expiring_to_pool,0,1,0,OFFENSE,15000,0,0,0,2026,243.0,21.166666666666668,243.0,sleeper_sf_slot,1,8260.88,108.03,7.974,WR,312,inv_sqrt_adp_weighted_linear,fallback_second_year
2026,0002,CBP,15889,"Okonkwo, Chigoziem",TE,TEN,ROSTER,1.0,5000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,OFFENSE,0,0,0,0,2026,242.0,21.083333333333332,242.0,sleeper_sf_slot,1,8277.19,99.88,7.087,TE,124,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,16622,"Pearsall, Ricky",WR,SFO,ROSTER,1.0,5000,2,Rookie,CL 3| TCV 15K| AAV 5K,1,retain_existing,5000,0,0,OFFENSE,0,0,0,0,2026,95.0,8.833333333333334,95.0,sleeper_sf_slot,0,0.0,132.51,9.691,WR,312,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,16196,"Perry, A.T.",WR,FA,TAXI_SQUAD,0.0,2000,1,Rookie,CL 3| TCV 6K| AAV 2K,0,expiring_to_pool,0,0,0,OFFENSE,0,1,0,0,2026,,400.0,400.0,fallback_missing_adp,1,1900.3,99.02,7.342,WR,312,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,16586,"Rattler, Spencer",QB,NOS,ROSTER,1.0,2000,2,Rookie,CL 3| TCV 6K| AAV 2K,1,retain_existing,2000,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,0,0.0,191.17,15.162,QB,114,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,16681,"Reichard, Will",PK,MIN,ROSTER,1.0,1000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,1900.3,59.54,5.803,PK,77,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,7836,"Rodgers, Aaron",QB,PIT,ROSTER,1.0,7000,1,Veteran,CL 1|,0,expiring_to_pool,0,1,0,OFFENSE,16000,0,0,0,2026,287.0,24.833333333333332,287.0,sleeper_sf_slot,1,7626.67,193.98,15.326,QB,114,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,17167,"Sanker, Jonas",S,NOS,ROSTER,1.0,1000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,2317.92,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,17039,"Shough, Tyler",QB,NOS,TAXI_SQUAD,0.0,5000,3,Rookie,CL 3| TCV 15K| AAV 5K,2,retain_existing,5000,0,0,OFFENSE,0,0,0,0,2026,96.0,8.916666666666666,96.0,sleeper_sf_slot,0,0.0,207.38,16.111,QB,114,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,15282,"Smith, DeVonta",WR,PHI,ROSTER,1.0,26000,1,Veteran,"CL 2| TCV 42K| AAV 26K|Y1-16 Y2-26|Ext: GRide, CBP",1,manual_tag_keep,29000,1,1,OFFENSE,29000,0,0,0,2026,60.0,5.916666666666667,60.0,sleeper_sf_slot,0,0.0,149.39,10.874,WR,312,inv_sqrt_adp_weighted_linear,fallback_second_year
2026,0002,CBP,16653,"Verse, Jared",DE,LAR,ROSTER,1.0,1000,2,Rookie,CL 3| TCV 3K| AAV 1K,1,retain_existing,1000,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,0,0.0,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,11985,"Way, Tress",PN,WAS,ROSTER,1.0,1000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,1900.3,105.44,7.834,OFFENSE_ALL,883,inv_sqrt_adp_weighted_linear,
