position,season,prior_season,player_id,player_name,franchise_id,prior_team_name,team_name,prior_status,cur_status,prior_salary,cur_salary,salary_jump_x,prior_cy,cur_cy,extension_flag,restructure_flag,mym_flag,contract_info,inferred_extension_term,inferred_extension_rate,reasons
RB,2020,2019,13364,"Carson, Chris",0008,#BLM,#BLM,Veteran,FL,1000,31000,31.0,3,2,0,0,0,"Ext. 'BLM '20/'21 - TCV 43K AAV 21K [1K, 31K, 11K]",0,0,salary_jump_no_flag
RB,2020,2019,13378,"Breida, Matt",0008,#BLM,#BLM,Veteran,Veteran,7000,22000,3.14,2,1,0,0,0,Ext. Blake '19 BLM '20 TCV 29K,0,0,salary_jump_no_flag
RB,2018,2017,13404,"Ekeler, Austin",0005,C-Town Chivalry,C'mon Son,STANDARD,Veteran,3000,10000,3.33,1,1,0,0,0,,0,0,salary_jump_no_flag
RB,2019,2018,13404,"Ekeler, Austin",0007,C'mon Son,Sex Manther,Veteran,Veteran,10000,21000,2.1,1,1,0,0,0,,0,0,salary_jump_no_flag
RB,2020,2019,13404,"Ekeler, Austin",0007,Sex Manther,Sex Manther,Veteran,Franchise,21000,42000,2.0,1,1,0,0,0,Tag Manther '20,0,0,salary_jump_no_flag
RB,2021,2020,13604,"Barkley, Saquon",0004,Pure Greatness,Pure Greatness,Rookie/Veteran,Veteran,15000,35000,2.33,3,2,0,0,0,CL 3| TCV 85K,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2021,2020,13605,"Guice, Derrius",0005,Cleon Ca$h,Run CMC,Rookie GF,Veteran,14000,1000,0.07,1,3,0,0,0,CL 3| TCV 3K| AAV 1K,0,0,contract_year_reset_no_flag
RB,2021,2020,13606,"Jones, Ronald",0008,Cleon Ca$h,#BLM,Rookie GF,FL,12000,45000,3.75,1,2,0,0,0,"CL 2| TCV 60K| AAV 30K| (45,15)",0,0,salary_jump_no_flag
RB,2021,2020,13610,"Chubb, Nick",0001,Ulterior Warrior,Ulterior Warrior,Rookie/Veteran,Veteran,7000,27000,3.86,3,2,0,0,0,CL 3| TCV 61K,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2023,2022,13610,"Chubb, Nick",0010,C-Town Chivalry,Blake Bombers,BL,Veteran,25000,48000,1.92,3,2,0,0,0,"CL 2| TCV 96K| AAV 47K| Ext: PG, Chivalry",0,0,salary_jump_no_flag
RB,2021,2020,13614,"Lindsay, Phillip",0005,Ulterior Warrior,Run CMC,Rookie GF,ER,3000,25000,8.33,1,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
RB,2021,2020,13620,"Jackson, Justin",0004,Gride,Pure Greatness,Rookie GF,WW,2000,4000,2.0,1,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
RB,2021,2020,13622,"Hines, Nyheim",0001,#BLM,Ulterior Warrior,Rookie GF,WW,5000,10000,2.0,1,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
RB,2021,2020,13814,"Scott, Boston",0002,Gride,The Bash Bros,Rookie GF,WW,2000,4000,2.0,1,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
RB,2021,2020,13850,"Edwards, Gus",0001,Ulterior Warrior,Ulterior Warrior,WW,FL,4000,14000,3.5,1,2,0,0,0,"CL 2| TCV 18K| AAV 9K| (14,4)",0,0,salary_jump_no_flag
RB,2024,2023,13850,"Edwards, Gus",0001,Ulterior Warrior,Ulterior Warrior,Veteran,Veteran,4000,14000,3.5,2,1,0,0,0,"CL 2 TCV 14K| AAV 14K| Y1-4K, Y2-14K| Ext: UW",0,0,salary_jump_no_flag
RB,2021,2020,14017,"Wilson, Jeffery",0001,#BLM,Ulterior Warrior,WW,WW,1000,5000,5.0,1,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
RB,2022,2021,14017,"Wilson, Jeffery",0002,Blake Bombers,The Bash Bros,WW,Veteran,5000,2000,0.4,1,3,0,0,0,CL 3| TCV 6K| AAV 2K,0,0,contract_year_reset_no_flag
RB,2023,2022,14071,"Montgomery, David",0012,Hawks,Hawks,Veteran,Veteran,24000,44000,1.83,3,2,0,0,0,CL 3| TCV 112K| AAV 44K| Y1-24 Y2-44 Y3-44,0,0,salary_jump_no_flag
RB,2020,2019,14072,"Snell, Benny",0006,Good in Da Hood,Good in Da Hood,Rookie GF,WW,2000,9000,4.5,3,1,0,0,0,,0,0,salary_jump_no_flag
RB,2022,2021,14073,"Jacobs, Josh",0004,Pure Greatness,Pure Greatness,Rookie/Veteran,Veteran,15000,35000,2.33,3,2,0,0,0,CL 3| TCV 85K| AAV 35K| Y1-15 Y2-35 Y3-35,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2023,2022,14075,"Harris, Damien",0012,Hawks,Hawks,Veteran,Veteran,15000,25000,1.67,2,1,0,0,0,CL 2| TCV 40K| AAV 25K| Y1-15 Y2-25| Ext: Hawks,0,0,salary_jump_no_flag
RB,2024,2023,14080,"Singletary, Devin",0003,Gride,Gride,Veteran,Veteran,4000,21000,5.25,1,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
RB,2023,2022,14085,"Pollard, Tony",0001,Ulterior Warrior,Ulterior Warrior,BL,BL,7000,27000,3.86,2,1,0,0,0,"CL 2| TCV 34K| AAV 22K| Y1-7 Y2-27| Ext: Chivalry, UW",0,0,salary_jump_no_flag
RB,2021,2020,14095,"Johnson, Ty",0008,#BLM,#BLM,WW,FL,10000,9000,0.9,1,3,0,0,0,"CL 3| TCV 12K| AAV 4K| (9,2,1)",0,0,contract_year_reset_no_flag
RB,2022,2021,14223,"Mattison, Alexander",0003,The Bash Bros,Gride,Rookie GF,Veteran,2000,12000,6.0,1,3,0,0,0,CL 3| TCV 36K| AAV 12K,0,0,rookie_to_vet_no_flag;salary_jump_no_flag;contract_year_reset_no_flag
RB,2023,2022,14797,"Swift, D'Andre",0003,Gride,Gride,Rookie/Veteran,Veteran,11000,21000,1.91,2,1,0,0,0,CL 2| TCV 32K| AAV 21K| Y1-11 Y2-21| Ext: Hood,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2024,2023,14798,"Moss, Zack",0005,The Main Event Mafia,HammerTime 🔨 ⏰,Veteran,Veteran,4000,1000,0.25,1,3,0,0,0,"CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1",0,0,contract_year_reset_no_flag
RB,2024,2023,14800,"Dobbins, J.K.",0012,Cleon Ca$h,Hawks,Veteran,Veteran,13000,9000,0.69,1,3,0,0,0,"CL 3| TCV 27K| AAV 9K| Y1-9, Y2-9, Y3-9",0,0,contract_year_reset_no_flag
RB,2025,2024,14802,"Taylor, Jonathan",0002,CBP,CBP,Veteran,Tag,24000,38000,1.58,1,1,0,0,0,CL 1| TCV 38K| AAV 38K| No Further Extensions,0,0,salary_jump_no_flag
RB,2022,2021,14813,"Robinson, James",0003,Sex Manther,Gride,Rookie,Veteran,4000,10000,2.5,1,2,0,0,0,CL 2| TCV 20K| AAV 10K,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2024,2023,14823,"Dowdle, Rico",0001,The Main Event Mafia,Ulterior Warrior,WW,Veteran,1000,11000,11.0,1,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
RB,2024,2023,14852,"Gibson, Antonio",0010,Hawks,Blake Bombers,WW,WW,1000,4000,4.0,1,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
RB,2024,2023,15254,"Harris, Najee",0002,CBP,CBP,Rookie|Veteran,Veteran,13000,23000,1.77,2,1,0,0,0,CL 2| TCV 36K| AAV 23K| Ext: Cleon,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2025,2024,15259,"Stevenson, Rhamondre",0011,HammerTime 🔨 ⏰,Cleon Ca$h,Veteran,BL,8000,32000,4.0,2,1,0,0,0,"CL 2| TCV 40K| AAV 25K| Y1-8K, Y2-32K| Ext: Mafia, Hammer",0,0,salary_jump_no_flag
RB,2022,2021,15261,"Hubbard, Chuba",0012,Hawks,Hawks,Rookie,WW,2000,10000,5.0,3,1,0,0,0,CL 1,0,0,salary_jump_no_flag
RB,2024,2023,15261,"Hubbard, Chuba",0007,Cleon Ca$h,Sex Manther,Veteran,Veteran,1000,6000,6.0,1,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
RB,2025,2024,15711,"Walker III, Kenneth",0009,Blake Bombers,C-Town Chivalry,Rookie/Veteran,Veteran,12000,32000,2.67,3,2,0,0,0,"CL 3| TCV 76K| AAV 32K| Y1-12, Y2-32, Y3-32| Ext: PG",0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2025,2024,15713,"Ford, Jerome",0007,Sex Manther,Sex Manther,Rookie,Veteran,2000,6000,3.0,1,1,0,0,0,CL 1|,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2025,2024,15715,"Cook, James",0009,C-Town Chivalry,C-Town Chivalry,Rookie/Veteran,Veteran,7000,27000,3.86,3,2,0,0,0,"CL 3| TCV 61K| AAV 27K| Y1-7, Y2-27, Y3-27| Ext: CBP",0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2025,2024,15721,"White, Rachaad",0004,Hawks,Pure Greatness,Rookie,Veteran,5000,9000,1.8,1,1,0,0,0,CL 1|,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2023,2022,15723,"Chandler, Ty",0007,Sex Manther,Sex Manther,Rookie,WW,2000,4000,2.0,2,1,0,0,0,,0,0,salary_jump_no_flag
RB,2024,2023,15723,"Chandler, Ty",0008,Real Deal Creel,Real Deal Creel,WW,Veteran,4000,9000,2.25,1,2,0,0,0,"CL 2| TCV 18K| AAV 9K| Y1-9, Y2-9,",0,0,salary_jump_no_flag
RB,2025,2024,15749,"Pacheco, Isiah",0001,Ulterior Warrior,L.A. Looks,Rookie/Veteran,Veteran,5000,15000,3.0,2,1,0,0,0,CL 2| TCV 20K| AAV 5K/15K| Y1- 5K Y2- 15K| Ext: PG,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
