year,player_id,nominator_fid,winner_fid,winning_bid_dollars,first_bid_at_utc,won_at_utc,duration_hrs_raw,duration_hrs_capped48,total_bids,forced_increases,overtakes,by_commish
2021,13202,0003,0003,3000,2021-08-05 13:13:09,2021-08-07 00:00:09,34.78,34.78,3,0,2,0
2021,13214,0003,0004,9000,2021-08-01 04:31:48,2021-08-03 00:12:33,43.68,43.68,6,2,3,0
2021,13216,0004,0004,5000,2021-07-31 23:55:16,2021-08-02 00:14:34,24.32,24.32,3,0,2,0
2021,13231,0004,0004,4000,2021-08-01 13:36:00,2021-08-02 13:48:03,24.2,24.2,3,2,0,0
2021,13234,0008,0009,5000,2021-08-03 08:47:59,2021-08-04 23:24:18,38.61,38.61,5,3,1,0
2021,13236,0006,0006,2000,2021-08-05 19:57:30,2021-08-06 20:21:02,24.39,24.39,2,1,0,0
2021,13245,0001,0002,4000,2021-08-03 02:55:09,2021-08-04 17:31:34,38.61,38.61,4,1,2,0
2021,13251,0005,0004,13000,2021-08-01 04:01:46,2021-08-03 15:25:01,59.39,48.0,9,6,2,0
2021,13252,0007,0007,2000,2021-08-03 03:13:25,2021-08-04 03:32:51,24.32,24.32,2,1,0,0
2021,13274,0007,0005,4000,2021-08-01 13:05:20,2021-08-02 19:40:52,30.59,30.59,2,0,1,0
2021,13304,0011,0011,4000,2021-08-03 14:54:58,2021-08-04 15:11:35,24.28,24.28,3,2,0,0
2021,13424,0008,0008,5000,2021-07-31 19:31:15,2021-08-01 19:33:29,24.04,24.04,2,1,0,0
2021,13447,0006,0003,3000,2021-08-03 12:03:12,2021-08-05 08:02:03,43.98,43.98,2,0,1,0
2021,13592,0011,0005,6000,2021-08-01 01:18:43,2021-08-03 11:42:44,58.4,48.0,5,1,3,0
2021,13608,0006,0009,6000,2021-08-03 13:08:11,2021-08-05 11:33:12,46.42,46.42,5,3,1,0
2021,13620,0004,0004,3000,2021-08-05 18:24:54,2021-08-06 20:21:02,25.94,25.94,3,0,2,0
2021,13633,0010,0007,4000,2021-08-05 11:23:55,2021-08-07 13:11:25,49.79,48.0,4,1,2,0
2021,13640,0011,0012,2000,2021-08-02 20:53:23,2021-08-04 03:11:36,30.3,30.3,2,0,1,0
2021,13680,0007,0007,4000,2021-08-04 02:52:22,2021-08-05 03:10:14,24.3,24.3,3,2,0,0
2021,13697,0010,0001,3000,2021-08-01 15:36:25,2021-08-03 02:17:35,34.69,34.69,3,1,1,0
2021,13706,0009,0011,4000,2021-07-31 19:13:39,2021-08-02 15:52:05,44.64,44.64,4,1,2,0
2021,13717,0009,0009,2000,2021-08-04 10:42:19,2021-08-05 10:46:03,24.06,24.06,2,1,0,0
2021,13782,0002,0006,2000,2021-07-31 19:14:28,2021-08-01 19:37:10,24.38,24.38,2,0,1,0
2021,13809,0010,0005,5000,2021-08-01 15:36:56,2021-08-02 19:40:52,28.07,28.07,3,0,2,0
2021,13813,0006,0006,2000,2021-08-02 16:20:51,2021-08-03 16:21:06,24.0,24.0,2,1,0,0
2021,13850,0006,0001,9000,2021-08-02 03:24:55,2021-08-04 02:28:32,47.06,47.06,8,5,2,0
